structure,PC1,PC2,cluster_id,cluster_name,cluster_colour,cluster_hex_colour
bit_2057,2.4316172666305103,5.456730189572466,1,2,orange,#ff7f00
bit_2058,5.830087623425103,15.427277276467446,1,2,orange,#ff7f00
bit_2059,-8.073927501477652,11.9324420845913,1,2,orange,#ff7f00
bit_2060,24.39670051846887,2.7897756252749506,0,1,green,#4daf4a
bit_2061,8.521925095025061,14.880433033022989,1,2,orange,#ff7f00
bit_2062,-6.531748973090485,-12.277167096620154,2,3,pink,#f781bf
bit_2063,-0.4930632780307319,14.97295563661297,1,2,orange,#ff7f00
bit_2064,9.047338689901167,5.500665593663831,1,2,orange,#ff7f00
bit_2065,20.64411715999656,-8.608225141443787,0,1,green,#4daf4a
bit_2066,-12.056558934425109,-2.7228569115002603,3,4,blue,#8f81f7
bit_2067,-2.3321263939093244,15.980993501658588,1,2,orange,#ff7f00
bit_2068,-5.366327316620781,9.811018728703552,1,2,orange,#ff7f00
bit_2069,-7.658281320081943,14.350177483797792,1,2,orange,#ff7f00
bit_2070,1.6298740200546111,-3.6652521011250174,2,3,pink,#f781bf
bit_2071,-15.338829794789948,-4.087766862413335,3,4,blue,#8f81f7
bit_2072,-12.997848531231169,-1.2979404865237083,3,4,blue,#8f81f7
bit_2073,-2.424441090566524,13.244520231899603,1,2,orange,#ff7f00
bit_2074,19.873163237134012,-8.622006836143822,0,1,green,#4daf4a
bit_2075,-14.707836549209174,-2.9696321051951102,3,4,blue,#8f81f7
bit_2076,-13.492226360636105,-3.058367417205728,3,4,blue,#8f81f7
bit_2077,-2.884076886381797,17.88477921815723,1,2,orange,#ff7f00
bit_2078,-1.4495006722788126,-8.452912106674152,2,3,pink,#f781bf
bit_2079,6.350451798885492,9.452999386644237,1,2,orange,#ff7f00
bit_2080,-13.117500252696177,-4.13835876056111,3,4,blue,#8f81f7
bit_2081,4.043208309527409,2.157718559810494,1,2,orange,#ff7f00
bit_2082,21.43370359124261,-11.281017099827787,0,1,green,#4daf4a
bit_2083,-7.45065593194952,-12.648958384420208,2,3,pink,#f781bf
bit_2084,-15.488262963012914,-5.001683819850239,3,4,blue,#8f81f7
bit_2085,15.396726846725732,-12.725352040429224,0,1,green,#4daf4a
bit_2086,-5.505792717292087,-1.1236802698012591,3,4,blue,#8f81f7
bit_2087,-15.488262963012914,-5.001683819850239,3,4,blue,#8f81f7
bit_2088,-17.10233823871371,-1.9290900300857023,3,4,blue,#8f81f7
bit_2089,-1.59732981808973,-13.805282489577822,2,3,pink,#f781bf
bit_2090,15.193394111205514,-3.520393751306374,0,1,green,#4daf4a
bit_2091,7.223417412965214,0.4745283023909279,0,1,green,#4daf4a
bit_2092,-13.3332682344649,-3.127999962903115,3,4,blue,#8f81f7
bit_2093,19.60053016594672,-1.5404488827899252,0,1,green,#4daf4a
bit_2094,-7.047637171805741,-11.12493522876506,2,3,pink,#f781bf
bit_2095,22.32191072783373,-0.6398148082175139,0,1,green,#4daf4a
bit_2096,5.0683974539830245,17.36433606527249,1,2,orange,#ff7f00
bit_2097,-15.034673701643127,-4.529314935698747,3,4,blue,#8f81f7
bit_2098,-2.967501279703968,-13.166928813953946,2,3,pink,#f781bf
bit_2099,0.777259150994712,13.19502637046126,1,2,orange,#ff7f00
bit_2100,-13.954337951385911,-4.096567649911204,3,4,blue,#8f81f7
bit_2101,19.760774639105303,0.489802771843999,0,1,green,#4daf4a
bit_2102,-0.6123424748429673,-12.490963112039996,2,3,pink,#f781bf
bit_2103,-12.215356877040923,-3.857160764352636,3,4,blue,#8f81f7
bit_2104,-7.558975868646164,-12.50849119063813,2,3,pink,#f781bf
bit_2105,6.33869753453027,17.74374974327621,1,2,orange,#ff7f00
bit_2106,18.30375738741375,-12.279695383580483,0,1,green,#4daf4a
bit_2107,4.34035938318065,13.293531069001377,1,2,orange,#ff7f00
bit_2108,-7.720935123286631,-12.586992159143412,2,3,pink,#f781bf
bit_2109,17.79307405810114,6.728145800101483,0,1,green,#4daf4a
bit_2110,-1.022555507271724,2.695425524141259,1,2,orange,#ff7f00
bit_2111,6.286570660284902,13.7047186919675,1,2,orange,#ff7f00
bit_2112,-8.26129470209739,12.478791411025458,1,2,orange,#ff7f00
bit_2113,21.533614722202927,-11.403035603012102,0,1,green,#4daf4a
bit_2114,-7.776999183334071,15.769234865470429,1,2,orange,#ff7f00
bit_2115,-11.58807216089022,14.941150786320216,1,2,orange,#ff7f00
bit_2116,-2.8511255489797875,11.130961371149269,1,2,orange,#ff7f00
bit_2117,19.6294466495648,2.68876219833882,0,1,green,#4daf4a
bit_2118,18.962278540193577,-4.926482982927702,0,1,green,#4daf4a
bit_2119,18.635594007222316,-13.541584156082894,0,1,green,#4daf4a
bit_2120,-13.954337951385911,-4.096567649911204,3,4,blue,#8f81f7
bit_2121,-4.749007340538433,-11.008736859319836,2,3,pink,#f781bf
bit_2122,-4.367169366046066,-14.460326763099392,2,3,pink,#f781bf
bit_2123,-12.355258408397706,-3.7723444309941776,3,4,blue,#8f81f7
bit_2124,-2.114622534507149,15.482100942403417,1,2,orange,#ff7f00
bit_2125,25.151627587871708,-0.931775333494234,0,1,green,#4daf4a
bit_2126,6.055572836950449,17.53041087994863,1,2,orange,#ff7f00
bit_2127,-15.301689356210472,-5.099391405783373,3,4,blue,#8f81f7
bit_2128,21.90682103177406,-5.355646082590138,0,1,green,#4daf4a
bit_2129,24.853018932356985,-1.1514570245915103,0,1,green,#4daf4a
bit_2130,-8.29038419897636,-13.19686513909704,2,3,pink,#f781bf
bit_2131,-8.430855214659845,-12.422006810784127,2,3,pink,#f781bf
bit_2132,9.743846678524124,1.05720453783199,0,1,green,#4daf4a
bit_2133,-4.113593864545908,8.680644997964404,1,2,orange,#ff7f00
bit_2134,9.754105769531858,9.32493599472778,1,2,orange,#ff7f00
bit_2135,-13.954337951385911,-4.096567649911204,3,4,blue,#8f81f7
bit_2136,-1.3529789632933282,14.350654653157086,1,2,orange,#ff7f00
bit_2137,6.1897330893507565,18.706271402077498,1,2,orange,#ff7f00
bit_2138,8.970745712962898,17.283245387367646,1,2,orange,#ff7f00
bit_2139,-13.79831100869573,-3.425773016708961,3,4,blue,#8f81f7
bit_2140,1.843375778675116,-10.436694053637662,2,3,pink,#f781bf
bit_2141,-13.438703481111638,-2.3357641429963225,3,4,blue,#8f81f7
bit_2142,-0.4711749580821789,16.010505298352395,1,2,orange,#ff7f00
